Код станции,Название станции,Тип станции
452314,"137 км, ПРД ",
407520,"137 км (о.п), ОД ",
674118,"14 км, КЗХ ",
651313,"1411 км, КБШ ",
904423,"1441 км, ВСИ ",
527027,"147 км, СКА ",Остановочный пункт
906607,"1536 км (о.п.), ВСИ ",
429520,"155 км, ЮЖН ",
429623,"167 км, ЮЖН ",Остановочный пункт
530413,"1680 км, СКА ",
530439,"1690 км, СКА ",
638732,"17 км, КБШ ",
674137,"17 км, КЗХ ",
810851,"172 км, ЮУР ",
400567,"18 км, ОД ",Разъезд
827034,"19 км, ЮУР ",
653145,"199 км, КБШ ",
306813,"Абросимово (рзд), СЕВ ",Разъезд
43010,"Абросово, ОКТ ",Станция
972064,"Аван, ДВО ",Станция
918337,"Аваха (рзд), ДВО ",Разъезд
429106,"Августовский, ЮЖН ",Грузовая станция
889149,"Авда, КРА ",
496986,"Авдаково, ДОН ",Станция
482803,"Авдеевка, ДОН ",Грузовая станция
880356,"Аверьяновка, КРА ",
193006,"Авиационная, МОС ",Грузовая станция
622522,"Авилово, ПРИ ",Станция
754905,"Авламыш, ТУР ",
712502,"Аврора, КЗХ ",
231903,"Авсюнино, МОС ",Грузовая станция
35508,"Автово, ОКТ ",Грузовая станция
35404,"Автово (перев.), ОКТ ","Перевалка на море 
Грузовая станция"
35601,"Автово (эксп.), ОКТ ","Перевалка на море и экспорт 
Грузовая станция 
Международный экс"
560307,"Авчала, ГРУ ",Грузовая станция
560330,"Авчала (эксп.), ГРУ ",
943610,"Ага, ЗАБ ",Станция
578705,"Агара, ГРУ ",
551168,"Агбент, АЗЕ ",Станция
555506,"Агдам, АЗЕ ",Грузовая станция
566407,"Агин, АРМ ",Грузовая станция
778800,"Агириш, СВЕ ",Грузовая станция
113406,"Аглона, ЛАТ ",Грузовая станция
524508,"Агроном, СКА ",Грузовая станция
254905,"Агрыз, ГОР ",Грузовая станция
889440,"Агул, КРА ",Разъезд
571808,"Агур-Кархана (рзд), ГРУ ",
423720,"Адабаш, ОД ",Станция
622202,"Ададурово, ПРИ ",Грузовая станция
162012,"Адамово, БЕЛ ",Станция
337604,"Адамполь, ЮЗА ",Грузовая станция
974214,"Адарка, ДВО ",
575694,"Аджамети, ГРУ ",
732402,"Аджибугут, УЗБ ",
573701,"Адзюбжа (рзд), ГРУ ",Грузовая станция
633226,"Адикаевка (рзд), КБШ ",
765321,"Адищево, СВЕ ",
532805,"Адлер, СКА ","Грузовая станция 
Является опорной"
919005,"Адникан (рзд), ДВО ",Разъезд
943362,"Адриановка, ЗАБ ",Станция
785403,"Адуй, СВЕ ",Грузовая станция
691406,"Адыр, КЗХ ",Грузовая станция
737124,"Ажинияз (рзд), УЗБ ",
788408,"Азанка, СВЕ ",Грузовая станция
188601,"Азарово, МОС ",Грузовая станция
687508,"Азат, КЗХ ",Грузовая станция
749301,"Азатлык, ТУР ",
922205,"Азей, ВСИ ",Грузовая станция
772908,"Азиатская, СВЕ ",Грузовая станция
276834,"Азино, ГОР ",Станция
510806,"Азов, СКА ",Грузовая станция
518704,"Азов (перев.), СКА ","Перевалка на море 
Грузовая станция"
510308,"Азов (эксп.), СКА ","Перевалка на море и экспорт 
Перевалка на реку и экспорт 
Грузов"
869304,"Азовская, КРЫМ ",Грузовая станция
172705,"Азотная, МОС ",Грузовая станция
709162,"Аиртау, КЗХ ",
806466,"Ай, ЮУР ",Станция
868405,"Айвазовская, КРЫМ ",Грузовая станция
868509,"Айвазовская (эксп.), КРЫМ ","Перевалка на море и экспорт 
Грузовая станция 
Международный экс"
569405,"Айгаван, АРМ ",Грузовая станция
654010,"Айгир, КБШ ",
708742,"Айгыржал, КЗХ ",
700596,"Айдарлы (рзд), КЗХ ",
753945,"Айдынг, ТУР ",Грузовая станция
815802,"Айдырля, ЮУР ",Грузовая станция
93700,"Айзкраукле, ЛАТ ",Грузовая станция
798236,"Айка, СВЕ ",Разъезд
682100,"Айке, КЗХ ",
282318,"Айкино, СЕВ ",Станция
282708,"Айкино (перев.), СЕВ ",Станция
701300,"Айна-Булак, КЗХ ",Грузовая станция
837303,"Айнак, ЗСИ ",Грузовая станция
745506,"Айни, ТАД ",
745402,"Айни (эксп.), ТАД ",
564702,"Айрум, АРМ ",Грузовая станция
569706,"Айрум (эксп.), АРМ ","Погранпереход 
Грузовая станция"
733405,"Айрытам, УЗБ ",Грузовая станция
675939,"Айса, КЗХ ",
694107,"Айсары, КЗХ ",Грузовая станция
669105,"Айтеке Би, КЗХ ",
751009,"Ак Ил, ТУР ",
667307,"Ак-Булак, КЗХ ",Грузовая станция
708621,"Ак-Булат, КЗХ ",
662106,"Ак-Кистау, КЗХ ",
692601,"Ак-Куль, КЗХ ",Грузовая станция
737048,"Ак-Тобе (рзд), УЗБ ",
702430,"Ак-Узяк, КЗХ ",
62900,"Академическая, ОКТ ",Грузовая станция
677205,"Акадыр, КЗХ ",Грузовая станция
724904,"Акалтын, УЗБ ",Грузовая станция
551505,"Акара, АЗЕ ",Грузовая станция
573504,"Акармара, ГРУ ",Грузовая станция
702657,"Акбалык, КЗХ ",
743214,"Акбарабад, УЗБ ",
647523,"Акбаш, КБШ ",Станция
698112,"Акдала (рзд), КЗХ ",
753926,"Акджагуйма, ТУР ",Станция
670051,"Акеспе, КЗХ ",
876717,"Акжадепе, ТУР ",
677900,"Акжайдак, КЗХ ",Грузовая станция
661601,"Акжайык, КЗХ ","Перевалка на море 
Грузовая станция"
705231,"Акжар, КЗХ ",
662708,"Акжигит, КЗХ ",Грузовая станция
475903,"Акимовка, ПРД ",
242,Акина ,"Погранпереход 
Грузовая станция"
243,Акина (экс) ,"Погранпереход 
Грузовая станция"
721304,"Аккавак, УЗБ ",Грузовая станция
679709,"Аккайтым (рзд), КЗХ ",Разъезд
401905,"Аккаржа, ОД ",Грузовая станция
401401,"Аккаржа (эксп.), ОД ",Грузовая станция
668507,"Аккемер, КЗХ ",Грузовая станция
674122,"Аккудык, КЗХ ",
668901,"Аккудык, КЗХ ",
647591,"Аккуль, КБШ ",
672536,"Аккум, КЗХ ",Станция
672216,"Акмая, КЗХ ",
751719,"Акмаянын Елы (оп), ТУР ",
126707,"Акмяне, ЛИТ ",Грузовая станция
698042,"Акнан, КЗХ ",Остановочный пункт
26809,"Аконъярви, ОКТ ",Грузовая станция
192003,"Акри, МОС ",Грузовая станция
966311,"Аксака, ДВО ",
656500,"Аксаково, КБШ ",Грузовая станция
252420,"Аксаматово, ГОР ",
617505,"Аксарайская, ПРИ ",Является опорной
617007,"Аксарайская II, ПРИ ","Погранпереход 
Грузовая станция"
792831,"Аксариха, СВЕ ",Станция
703804,"Аксенгер (рзд), КЗХ ",Грузовая станция
835933,"Аксениха, ЗСИ ",
656752,"Аксеново, КБШ ",Станция
557200,"Акстафа, АЗЕ ",Грузовая станция
695701,"Аксу I, КЗХ ",Грузовая станция
695805,"Аксу II, КЗХ ",Грузовая станция
686007,"Аксуат, КЗХ ",
752228,"Аксув, ТУР ",Станция
690604,"Актай, КЗХ ",
698242,"Актас, КЗХ ",
673505,"Актасты, КЗХ ",Грузовая станция
673416,"Актау, КЗХ ",
663503,"Актау-Порт, КЗХ ",
529107,"Тимашевская (эксп.), СКА ","Перевалка на море и экспорт 
Грузовая станция 
Международный экс"
516229,"Тимашевский обход, СКА ",
139105,"Тимковичи, БЕЛ ",Грузовая станция
414115,"Тимково, ОД ",Станция
934804,"Тимлюй, ВСИ ",Грузовая станция
880017,"Тимонино (рзд), КРА ",Разъезд
46315,"Тимошкино, ОКТ ",Станция
697707,"Тимур, КЗХ ",Грузовая станция
612323,"Тингута, ПРИ ",
894005,"Тинская, КРА ",Грузовая станция
731407,"Тинчлик, УЗБ ",
390103,"Тираспол, МОЛ ",Грузовая станция
885627,"Тисин, КРА ",
880500,"Тисуль, КРА ",Грузовая станция
15805,"Титан, ОКТ ",Грузовая станция
520704,"Титаровка, СКА ",Грузовая станция
17459,"Титовка, ОКТ ",
633254,"Титово, КБШ ",Станция
106205,"Титувенай, ЛИТ ",Грузовая станция
799328,"Тихая, СВЕ ",
765040,"Тихая, СВЕ ",
995102,"Тихая, ДВО ",Грузовая станция
47505,"Тихвин, ОКТ ",Грузовая станция
312000,"Тихменево, СЕВ ",Грузовая станция
184204,"Тихонова Пустынь, МОС ",Грузовая станция
648908,"Тихоново, КБШ ",Грузовая станция
515104,"Тихонький (обп), СКА ",Грузовая станция
985219,"Тихоокеанская, ДВО ",Станция
984201,"Тихоокеанская, ДВО ",
520102,"Тихорецкая, СКА ",Грузовая станция
250603,"Тихорецкая, ГОР ",
520206,"Тихорецкая (эксп.), СКА ","Перевалка на море и экспорт 
Грузовая станция 
Международный экс"
976008,"Тихоречное, ДВО ",Грузовая станция
713505,"Тишинская, КЗХ ",Грузовая станция
614225,"Тишкино, ПРИ ",
573400,"Ткварчели, ГРУ ",Грузовая станция
575603,"Ткибули I, ГРУ ",Грузовая станция
683102,"Тобол, КЗХ ",Грузовая станция
816400,"Тобол (эксп. до 07.2011), ЮУР ","Погранпереход 
Грузовая станция"
796103,"Тобольск, СВЕ ",Грузовая станция
796207,"Тобольск-Порт, СВЕ ",Грузовая станция
796300,"Тобольск-Порт (перев.), СВЕ ","Перевалка на реку 
Грузовая станция"
285392,"Тобысь, СЕВ ",Грузовая станция
224702,"Товарково, МОС ",Грузовая станция
140418,"Товарный Двор, БЕЛ ",
386803,"Товмачик, ЛЬВ ",Станция
365008,"Товсте, ЛЬВ ",Грузовая станция
684800,"Тогузак, КЗХ ",Грузовая станция
698907,"Тогус, КЗХ ",Грузовая станция
853908,"Тогучин, ЗСИ ",Грузовая станция
670009,"Тогыз, КЗХ ",Грузовая станция
591131,"Тойда, ЮВО ",Станция
648912,"Тойма, КБШ ",
723206,"Тойтепа, УЗБ ",Грузовая станция
466406,"Ток, ПРД ",Грузовая станция
598408,"Токаревка, ЮВО ",Грузовая станция
49500,"Токари, ОКТ ",Станция
967526,"Токи, ДВО ",Станция
695010,"Токибай (рзд), КЗХ ",Разъезд
717205,"Токмак, КРГ ",Грузовая станция
669001,"Токмансай, КЗХ ",
641006,"Токмово, КБШ ",Грузовая станция
696600,"Токсанбай (рзд), КЗХ ",Разъезд
37908,"Токсово, ОКТ ",Грузовая станция
826071,"Токуши, ЮУР ",Станция
677807,"Токырау, КЗХ ",Грузовая станция
955213,"Тола (пп), ЗАБ ",Путевой пост
940523,"Толбага, ЗАБ ",
657837,"Толевая, КБШ ",
659103,"Толкай, КБШ ",Грузовая станция
347207,"Толкачевский, ЮЗА ",Грузовая станция
72102,"Толмачево, ОКТ ",Грузовая станция
434301,"Толоконное, ЮВО ",Грузовая станция
265308,"Толоконцево, ГОР ",Грузовая станция
142004,"Толочин, БЕЛ ",Грузовая станция
180805,"Толстопальцево, МОС ",Грузовая станция
664309,"Толтыр (рзд), КЗХ ",
637301,"Тольятти, КБШ ",Грузовая станция
637405,"Тольятти (эксп.), КБШ ","Перевалка на реку и экспорт 
Грузовая станция 
Международный экс"
994608,"Томари, ДВО ",Грузовая станция
526306,"Темижбекская, СКА ",Грузовая станция
660308,"Темир, КЗХ ",
683916,"Темирбулак, КЗХ ",
542934,"Темиргое, СКА ",Станция
741702,"Темирйулобод, УЗБ ",
674300,"Темиртау, КЗХ ",Грузовая станция
189602,"Тёмкино, МОС ",Грузовая станция
158407,"Тёмный Лес, БЕЛ ",Грузовая станция
523007,"Темрюк, СКА ",Грузовая станция
524809,"Темрюк (перев.), СКА ",
527807,"Темрюк (эксп.), СКА ","Перевалка на море и экспорт 
Грузовая станция 
Международный экс"
661508,"Тендык, КЗХ ",Грузовая станция
865534,"Тенеш, ЗСИ ",Станция
312706,"Тенино, СЕВ ",Грузовая станция
913808,"Тенистый, ЖДЯ ",
742103,"Тентаксай, УЗБ ",Грузовая станция
701601,"Тентек, КЗХ ",Грузовая станция
766502,"Теплая Гора, СВЕ ",Грузовая станция
924643,"Тепловая, ВСИ ",
495428,"Теплогорск, ДОН ",Станция
215243,"Теплое, МОС ",Станция
962109,"Тёплое Озеро, ДВО ",Грузовая станция
893553,"Теплые Ключи, КРА ",
640304,"Тёплый Стан, КБШ ",Станция
596703,"Тербуны, ЮВО ",Грузовая станция
45459,"Теребочево, ОКТ ",
44371,"Теребутенец, ОКТ ",Станция
539804,"Терек, СКА ",Грузовая станция
710206,"Теректи (рзд), КЗХ ",Разъезд
676819,"Теректы, КЗХ ",Станция
671504,"Теренозек, КЗХ ",Грузовая станция
815605,"Теренсай, ЮУР ",Грузовая станция
684116,"Теренсай (рзд), КЗХ ",
862108,"Терентьевская, ЗСИ ",Грузовая станция
385603,"Тересва, ЛЬВ ",Грузовая станция
385105,"Тересва (эксп.), ЛЬВ ","Погранпереход 
Грузовая станция 
Международный экспорт"
363924,"Тересин, ЛЬВ ",Станция
583031,"Терехов, ЮВО ",Станция
262920,"Тереховицы, ГОР ",
150706,"Тереховка, БЕЛ ",Грузовая станция
150805,"Тереховка (эксп.), БЕЛ ","Погранпереход 
Грузовая станция"
64201,"Терешкино, ОКТ ",Грузовая станция
428103,"Терешковка, ЮЖН ",Станция
328102,"Терещенская, ЮЗА ",Грузовая станция
681802,"Терисаккан, КЗХ ",Разъезд
735109,"Термез, УЗБ ",Грузовая станция
736704,"Термез-Порт, УЗБ ",
735203,"Термез-Порт (эксп.), УЗБ ","Перевалка на реку и экспорт 
Грузовая станция 
Международный экс"
574901,"Тернали (оп), ГРУ ",Грузовая станция
598709,"Терновка, ЮВО ",Грузовая станция
419405,"Терновка-Николаевская, ОД ",Станция
431002,"Терновое, ЮЖН ",Грузовая станция
360004,"Тернополь, ЛЬВ ",Грузовая станция
429712,"Терны, ЮЖН ",
457303,"Терны, ПРД ",Грузовая станция
625018,"Терса-Вольская, ПРИ ",
255221,"Терси, ГОР ",Станция
150301,"Терюха, БЕЛ ",Станция
151003,"Терюха (эксп.), БЕЛ ",Погранпереход
296217,"Тесовка (рзд), СЕВ ",
321508,"Тетерев, ЮЗА ",Грузовая станция
338706,"Тетиев, ЮЗА ",Грузовая станция
209609,"Теткино, МОС ",Грузовая станция
207001,"Теткино (эксп.), МОС ","Погранпереход 
Грузовая станция"
329321,"Теткино-Неониловка, ЮЗА ",
563907,"Тетри-Цкаро, ГРУ ",Грузовая станция
563926,"Тетри-Цкаро (эксп.), ГРУ ","Погранпереход 
Грузовая станция 
Международный экспорт"
858738,"Техникум, КРЫМ ",
506904,"Техникум (рзд), ДОН ",Грузовая станция
243807,"Теша, ГОР ",Грузовая станция
46502,"Тешемля, ОКТ ",Грузовая станция
886808,"Тея, КРА ",Грузовая станция
887675,"Тигей, КРА ",Станция
42085,"Тигода, ОКТ ",Станция
983637,"Тигровый (рзд), ДВО ",Разъезд
646118,"Тиинск, КБШ ",
894819,"Тиличет, КРА ",Станция
285123,"Тиманский, СЕВ ",Станция
658543,"Тимашево, КБШ ",Станция
516200,"Тимашевская, СКА ",Грузовая станция
262403,"Ундол, ГОР ",Грузовая станция
295500,"Унежма, СЕВ ",Грузовая станция
889172,"Унерчик (рзд), КРА ",
202008,"Унеча, МОС ","Грузовая станция 
Является опорной"
307201,"Унжа (рзд), СЕВ ",Грузовая станция
831311,"Универсальная, ЗСИ ",Станция
395906,"Ункитешть, МОЛ ",Грузовая станция
908725,"Ункур, ДВО ",
807204,"Ункурда, ЮУР ",Грузовая станция
783616,"Унь (рзд), СВЕ ",Разъезд
212508,"Упа, МОС ",Грузовая станция
579500,"Уплисцихе (рзд), ГРУ ",Грузовая станция
579106,"Уплисцихе (рзд) (эксп.), ГРУ ","Погранпереход 
Грузовая станция 
Международный экспорт"
15133,"Уполокша, ОКТ ",Станция
804009,"Упрун, ЮУР ",Грузовая станция
438209,"Уразово, ЮВО ",Грузовая станция
530809,"Ураковская, СКА ",Грузовая станция
818586,"Урал-Тау (рзд), ЮУР ",
776716,"Уралзолото, СВЕ ",Станция
765800,"Уралнефть, СВЕ ",Грузовая станция
665602,"Уральск, КЗХ ","Перевалка на реку 
Грузовая станция"
665509,"Уральск-Товарная, КЗХ ",Грузовая станция
295021,"Урамец, СЕВ ",Станция
626307,"Урбах, ПРИ ",Грузовая станция
225809,"Урванка, МОС ",Грузовая станция
917353,"Ургал I, ДВО ",Станция
738305,"Ургенч, УЗБ ",Грузовая станция
281404,"Урдома, СЕВ ",Грузовая станция
570703,"Уреки, ГРУ ",Грузовая станция
646033,"Уренбаш, КБШ ",
266601,"Урень, ГОР ",Грузовая станция
149003,"Уречье, БЕЛ ",Грузовая станция
806108,"Уржумка, ЮУР ",
960902,"Урил, ДВО ",Грузовая станция
200110,"Урицкий (рзд), МОС ",Разъезд
918525,"Уркальту (рзд), ДВО ",Разъезд
655704,"Урман, КБШ ",Грузовая станция
248800,"Урмары, ГОР ",Грузовая станция
856304,"Урожайная, КРЫМ ",Грузовая станция
254835,"Уром, ГОР ",Станция
11749,"Уросозеро, ОКТ ",
723808,"Уртааул, УЗБ ",Грузовая станция
947503,"Урульга, ЗАБ ",Грузовая станция
945902,"Урулюнгуй, ЗАБ ",Грузовая станция
650607,"Уруссу, КБШ ",Грузовая станция
951301,"Уруша, ЗАБ ",Грузовая станция
651807,"Уршак (рзд), КБШ ",Грузовая станция
836230,"Урываево, ЗСИ ",Станция
950402,"Урюм, ЗАБ ",Грузовая станция
613006,"Урюпино, ПРИ ",Грузовая станция
288901,"Уса, СЕВ ",Грузовая станция
231405,"Усад, МОС ",Грузовая станция
192658,"Усады-Окружные, МОС ",
405205,"Усатово, ОД ",Грузовая станция
619214,"Усатовский (рзд), ПРИ ",Разъезд
283306,"Усва, СЕВ ",Грузовая станция
651012,"Усень (рзд), КБШ ",Станция
288308,"Усинск, СЕВ ",Грузовая станция
862926,"Ускат (рзд), ЗСИ ",Разъезд
997606,"Усково, ДВО ",Грузовая станция
904620,"Усколь, ДВО ",
636510,"Услада, КБШ ",
591606,"Усмань, ЮВО ",Грузовая станция
962838,"Усов Балаган, ДВО ",
182105,"Усово, МОС ",Грузовая станция
204728,"Усожа, МОС ",
931806,"Усолье-Сибирское, ВСИ ",Грузовая станция
684406,"Успеновка, КЗХ ",Грузовая станция
510907,"Успенская, СКА ",Грузовая станция
511002,"Успенская (эксп.), СКА ","Погранпереход 
Грузовая станция"
988306,"Уссурийск, ДВО ",Грузовая станция
988607,"Уссурийск 2, ДВО ",Грузовая станция
266508,"Уста, ГОР ",Грузовая станция
353000,"Устилуг, ЛЬВ ",Станция
197420,"Устиновка, МОС ",
343704,"Устиновка, ЮЗА ",Грузовая станция
427628,"Устиновка, ЮЖН ",
805529,"Устиново, ЮУР ",
787443,"Усть-Березовка, СВЕ ",Станция
885909,"Усть-Бирь, КРА ",Грузовая станция
416182,"Томарино, ОД ",Станция
435605,"Томаровка, ЮВО ",Грузовая станция
355805,"Томашгород, ЛЬВ ",Грузовая станция
672409,"Томенарык, КЗХ ",Грузовая станция
343916,"Томиловка, ЮЗА ",
10303,"Томицы, ОКТ ",Станция
954206,"Томичи, ЗАБ ",Грузовая станция
914209,"Томмот, ЖДЯ ",
873901,"Томск I, ЗСИ ",Грузовая станция
874001,"Томск II, ЗСИ ",Грузовая станция
874302,"Томск-Грузовой, ЗСИ ",Грузовая станция
874406,"Томск-Грузовой (перев.), ЗСИ ","Перевалка на реку 
Грузовая станция"
874020,"Томск-Северный, ЗСИ ",
864601,"Томусинская, ЗСИ ",Грузовая станция
639307,"Томылово, КБШ ",Грузовая станция
521406,"Тоннельная, СКА ",Грузовая станция
961021,"Тоннельный, ДВО ",
602919,"Тоновка, ЮВО ",Станция
267106,"Тоншаево, ГОР ",Грузовая станция
89000,"Тоотси, ЭСТ ",Грузовая станция
675500,"Топар, КЗХ ",Грузовая станция
603004,"Топиллы, ЮВО ",Грузовая станция
871107,"Топки, ЗСИ ",Грузовая станция
627901,"Тополек, ПРИ ",Грузовая станция
432109,"Тополи, ЮЖН ",Грузовая станция
431801,"Тополи (эксп.), ЮЖН ","Погранпереход 
Грузовая станция"
345907,"Топорище, ЮЗА ",Станция
42613,"Топорово, ОКТ ",Станция
54227,"Топорок, ОКТ ",Станция
923301,"Топорок, ВСИ ",Грузовая станция
844504,"Топчиха, ЗСИ ",Грузовая станция
640605,"Торбеево, КБШ ",Грузовая станция
41208,"Торбино, ОКТ ",Грузовая станция
244,Торгунди ,"Погранпереход 
Грузовая станция"
245,Торгунди (экс) ,"Погранпереход 
Грузовая станция"
93556,"Торе, ЛАТ ",
503802,"Торез, ДОН ",Грузовая станция
670600,"Торетам, КЗХ ",Грузовая станция
924215,"Торея, ВСИ ",Станция
64106,"Торжок, ОКТ ",Грузовая станция
69006,"Торжок-Южный, ОКТ ",Грузовая станция
508702,"Тормозной, ДОН ",Станция
91008,"Торнякалнс, ЛАТ ",Грузовая станция
67706,"Торопец, ОКТ ",Грузовая станция
445202,"Торопиловка, ЮЖН ",Грузовая станция
312316,"Торопово, СЕВ ",Разъезд
406320,"Торосово, ОД ",
444801,"Торохтяный, ЮЖН ",Станция
71106,"Торошино, ОКТ ",Грузовая станция
365101,"Торске, ЛЬВ ",Грузовая станция
242804,"Торфопродукт, ГОР ",Грузовая станция
42200,"Торфяное, ОКТ ",Грузовая станция
669976,"Тосбулак, КЗХ ",
31302,"Тосно, ОКТ ",Грузовая станция
799807,"Тосовей, СВЕ ",Грузовая станция
811106,"Тоцкая, ЮУР ",Грузовая станция
728801,"Тошгузар, УЗБ ",
315314,"Тощиха (рзд), СЕВ ",
156030,"Тощица, БЕЛ ",Станция
248209,"Траки (рзд), ГОР ",Грузовая станция
284718,"Тракт, СЕВ ",Станция
244212,"Трактовый-Арзамасский, ГОР ",
610309,"Тракторная-Товарная, ПРИ ",Грузовая станция
843543,"Тракторный, ЗСИ ",Станция
801301,"Тракторстрой, ЮУР ",Грузовая станция
40614,"Трегубово, ОКТ ",Остановочный пункт
962611,"Трек, ДВО ",
362902,"Трембовля, ЛЬВ ",Грузовая станция
114220,"Трепе, ЛАТ ",
411206,"Треповка, ОД ",
228722,"Треполье, МОС ",Станция
590302,"Тресвятская, ЮВО ",Грузовая станция
711904,"Третьяково, КЗХ ",Грузовая станция
606708,"Три Острова, ЮВО ",Грузовая станция
413201,"Трикратное, ОД ",Грузовая станция
344707,"Триполье-Днепровское, ЮЗА ",Грузовая станция
455901,"Тритузная, ПРД ",Грузовая станция
107301,"Тришкяй, ЛИТ ",Грузовая станция
955425,"Троебратка, ЗАБ ",Станция
603339,"Троекурово, ЮВО ",Станция
310700,"Филино, СЕВ ",Грузовая станция
310503,"Филино (перев.), СЕВ ","Перевалка на реку 
Грузовая станция"
659758,"Филипповка, КБШ ",Станция
613307,"Филоново, ПРИ ",Грузовая станция
776006,"Филькино, СВЕ ",Грузовая станция
69307,"Фирово, ОКТ ",Грузовая станция
463906,"Фисаки, ПРД ",Грузовая станция
632327,"Фитингоф, КБШ ",Станция
395605,"Флорешть, МОЛ ",Грузовая станция
805800,"Флюсовая, ЮУР ",Грузовая станция
200905,"Фокино, МОС ",Грузовая станция
165311,"Фомино, БЕЛ ",
293054,"Фоминская, СЕВ ",Станция
523420,"Фонталовская, СКА ",Станция
964028,"Форель, ДВО ",Станция
804206,"Формачево, ЮУР ",Грузовая станция
490053,"Форпостная, ДОН ",Станция
33803,"Фрезерный, ОКТ ",Грузовая станция
983711,"Фридман, ДВО ",
402809,"Фрикацей, ОД ",Станция
406208,"Фрикацей (эксп.), ОД ",Грузовая станция
264413,"Фролищи, ГОР ",Станция
420826,"Фронтовка (оп), ОД ",Остановочный пункт
234403,"Фруктовая, МОС ",Грузовая станция
230807,"Фрязево, МОС ",Грузовая станция
235302,"Фрязино, МОС ",Грузовая станция
423108,"Фундуклеевка, ОД ",Грузовая станция
742300,"Фуркат, УЗБ ",Грузовая станция
316001,"Фурманов, СЕВ ",Грузовая станция
681304,"Фурмановский, КЗХ ",Грузовая станция
392804,"Фэлешть, МОЛ ",Грузовая станция
551609,"Халафли (рзд), АЗЕ ",Грузовая станция
552001,"Халач, АЗЕ ",Грузовая станция
759602,"Халач, ТУР ",Грузовая станция
813807,"Халилово, ЮУР ",Грузовая станция
326022,"Халимоново, ЮЗА ",Станция
757518,"Халкабат, ТУР ",Станция
974712,"Халкидон, ДВО ",Станция
741609,"Халкобод, УЗБ ",
919804,"Хальгасо, ДВО ",Грузовая станция
155061,"Хальч, БЕЛ ",Станция
324402,"Халявино, ЮЗА ",Грузовая станция
722504,"Хамза, УЗБ ",
559300,"Ханабад, АЗЕ ",Грузовая станция
744109,"Ханабад, УЗБ ",Грузовая станция
744404,"Ханабад (эксп.), УЗБ ","Погранпереход 
Грузовая станция"
745600,"Ханака, ТАД ",
488000,"Ханженково, ДОН ",Грузовая станция
904601,"Хани, ДВО ",Грузовая станция
212601,"Ханино, МОС ",Грузовая станция
541306,"Ханкала, СКА ",Грузовая станция
555608,"Ханкеди, АЗЕ ",Грузовая станция
738409,"Ханки, УЗБ ",
887637,"Ханкуль, КРА ",Станция
289529,"Хановей, СЕВ ",Станция
534707,"Ханская, СКА ",Грузовая станция
704900,"Хантау, КЗХ ",Грузовая станция
798522,"Ханымей, СВЕ ",Станция
510505,"Хапры, СКА ",Грузовая станция
617901,"Харабалинская, ПРИ ",Грузовая станция
576803,"Харагоули, ГРУ ",
941206,"Харагун, ЗАБ ",Грузовая станция
887425,"Хараджуль, КРА ",Станция
945404,"Харанор, ЗАБ ",Грузовая станция
936807,"Харанхой, ВСИ ",Грузовая станция
783601,"Харенки, СВЕ ",Грузовая станция
922807,"Харик, ВСИ ",Грузовая станция
130219,"Харитоны, БЕЛ ",
25101,"Харлу, ОКТ ",Грузовая станция
301109,"Харовская, СЕВ ",Грузовая станция
289800,"Харп-Северное Сияние, СЕВ ",Грузовая станция
919306,"Харпичан, ДВО ",Грузовая станция
487900,"Харцызск, ДОН ",Грузовая станция
440503,"Харьков-Балашовский, ЮЖН ",Грузовая станция
440321,"Харьков-Левада, ЮЖН ",Станция
449909,"Харьков-Лиски, ЮЖН ",
440406,"Харьков-Пассажирский, ЮЖН ",
440001,"Харьков-Сортировочный, ЮЖН ",Грузовая станция
440105,"Харьков-Товарный, ЮЖН ",Грузовая станция
440302,"Харьков-Червонозаводский, ЮЖН ",
284309,"Усть-Вымь, СЕВ ",Грузовая станция
512604,"Усть-Донецкая, СКА ",Грузовая станция
518507,"Усть-Донецкая (перев.), СКА ","Перевалка на реку 
Грузовая станция"
513908,"Усть-Донецкая (эксп.), СКА ","Перевалка на реку и экспорт 
Грузовая станция 
Международный экс"
887302,"Усть-Есь, КРА ",Грузовая станция
652424,"Усть-Зиган, КБШ ",
926403,"Усть-Илимск, ВСИ ",Грузовая станция
713702,"Усть-Каменогорск, КЗХ ","Погранпереход 
Грузовая станция"
713906,"Усть-Каменогорск (перев.), КЗХ ","Перевалка на реку 
Грузовая станция"
808508,"Усть-Катав, ЮУР ",Грузовая станция
927035,"Усть-Кут, ВСИ ",Погранпереход
525801,"Усть-Лабинская, СКА ",Грузовая станция
74502,"Усть-Луга, ОКТ ",Грузовая станция
75100,"Усть-Луга (перев.), ОКТ ",
76103,"Усть-Луга (эксп.), ОКТ ",
967206,"Усть-Орочи, ДВО ",Грузовая станция
953504,"Усть-Пера, ЗАБ ",Грузовая станция
795806,"Усть-Тавда, СВЕ ",Грузовая станция
712201,"Усть-Таловка, КЗХ ",
840908,"Усть-Тальменская, ЗСИ ",Грузовая станция
766470,"Усть-Тискос, СВЕ ",Станция
297493,"Усть-Шоноша, СЕВ ",Грузовая станция
797021,"Усть-Юган, СВЕ ",Станция
788906,"Устье-Аха, СВЕ ",Грузовая станция
651239,"Устюба, КБШ ",
663005,"Устюрт, КЗХ ",Грузовая станция
767702,"Усьва, СВЕ ",
767825,"Усьва, СВЕ ",
